prompt,classes,answer_index
Does the following sentence have a grammatical error in it? Sentence: The sharp trail in the hydrant in a light map defiantly hurt the goose. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some swings in a bread zestfully retired the plane. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Relaxed crooks in the wonderful spy gleefully sponsor brief icicles. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The proud boundaries on flocks sheepishly obey a few damaged riddles. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The nervous kites in a flag vacantly mark the hot seed. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple delicious cannons beautifully resemble a shiny furniture. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A frame in the crooked stream playfully balances those sharp towns. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The frame in the modern ghost intently instructs the lawyer. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The innocent tigers hastily ary tanks. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A helpless coil in a lace noisily contacts a sour tray. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The oatmeal fondly executes a skinny parent. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A funny goose fervently desires the comfortable toe. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: An uneven language afterwards assured those unusual vests. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Scary dolls vivaciously transmitted some recesses. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The deer almost counters some pans. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: An elegant toothbrush meaningfully comments the turkey. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many bricks in a flat street helplessly reassured infamous songs. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The celery of the vacations of the bored music quirkily narrows squeaky brothers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many elegant jars in a purring army lazily focu the chickens. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Tame voyages strictly spot the flag. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those clubs of a few lonely tents speedily inspired a cream. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The lonely scene sedately behaved some wrists. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few mittens on the child greatly exerted an important cherry. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some hearts in a station correctly chatted a kind sack. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The deafening baseball repeatedly clings the crown. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Police of the idea unnecessarily organize those adorable magics. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many soft daughters tremendously situated the cellar. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The beetle absentmindedly upset the classes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The birthday truly diminishes the shapes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some weary horns in the month daily freed both icy homes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple songs colorfully convict a cow. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those lunchrooms questionably advertised the deer. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A throat warmly substitutes a doubtful flower. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Panicky afternoons on a cave queerly flashed the faithful lace. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The grasses voluntarily repeated a few high-pitched flavors. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few bloody steps separately refuse the sweet popcorn. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some bananas of a snail furiously stretched a grain. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The hurt boys in the dog sharply whisper the harsh room. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The funny steps in the sour throne busily locate a revolting tree. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The damaged spark powerfully questions those magics. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Months in a spot always delayed the station. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The horn in a book vacantly yields the shaky horn. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The rainstorm far enforced an owl. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Battles scarcely sort a lace. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The uneven string of those armies kindheartedly lacked those hydrants. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple fresh desks gleefully ban the round dusts. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A swift book madly generated many hushed cannons. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few wealth upbeat labelled unsightly armies. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The greasy month in a toad in the sidewalks gleefully blocked the jellyfish. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those hurt scales in a lace soon blocked some wet tempers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The bath in a couple parents frankly whisperred the friction. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A panicky jellyfish in the disturbed guns voluntarily fired the damp icicles. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The grasses in the heart frenetically dedicated a mute guitar. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A high-pitched cent monthly calculates clubs. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: An advice lightly bound frantic treatments. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those blushing cacti of the squeaky kitten vaguely sprang wild maids. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Both difficult cattles of the rubbery pail sheepishly bury some winters. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Tigers cautiously schedule a frog. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many drums wonderfully interview the gleaming family. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The heart of the helpful owl joyously hung a couple partners. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The crown certainly repeats a tiny clam. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Important locks of a harsh flower quicker research the solid swing. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The meal easily advises the massive cave. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A mint joyfully cross those fruits. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Tame achieves bitchingly rescued many toes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A caption of a new cast lazily topped a fight. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The patch in a condemned calculator youthfully committed crowds. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those angers in a meal surprisingly endorsed the icicles. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The breakable afterthought in the terrible cats partially convinces those angers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The encouraging ocean of those guides reproachfully cancels the sister. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those dull crooks on the kite sedately marched the channel. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The wooden feet beautifully injure a few straws. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A gleaming sheet greatly handled an uncle. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The steady kites anxiously fucked cellars. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: An agreeable cloth owlishly laughed the loose coil. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Busy arithmetics in a calculator in a frantic volleyball separately breathe safe breads. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some stews softly undertaked a van. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The lovely cast in wrists enthusiastically criticised the upset lunchrooms. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Foods in a frantic quicksand frantically practised the aunts. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The impossible activity in a victorious holiday correctly enforced both plastic sparks. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some weak chickens of a muddy stranger oddly specified some wicked toads. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few tubs of a couple squeaky beetles often answer small trips. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The bloody brushes in the graceful station enthusiastically predicted the different pet. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Grieving yards obediently proposed a couple animals. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Toes of those breakfasts jaggedly proposed the streams. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those ministers on flavors playfully acknowledge a bat. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many tigers of a couple terrible norths dimly popped those breakfasts. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The wrenches delightfully fold a caption. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The team yearningly exported brave rewards. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The drab crib on the jar bravely crept the foolish toad. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A rough name playfully names amused bubbles. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those battles of a galley physically confined the twig. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few pails in broken maids deceivingly whisper the spotless kitten. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some voiceless rabbits on a few toothbrushes uselessly impres both thick animals. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A pet physically inserts the awful mouse. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some pencils merrily fight a clover. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many enchanting feasts on grieving laborers on pickles keenly twisted some outrageous appliances. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The money nearly proposed the gleaming tests. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple cruel boots foolishly hang the sticky lights. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The temper in the caption safely splits a juice. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some tents rapidly motivate the boundaries. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple maps on wealth playfully boost the beautiful airport. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some quick pancakes in the kittens yieldingly protect those tigers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A pig in hilly strings diligently halts the bean. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The hen hastily fixed the open pear. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A cracker thankfully realised the partner. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A texture deceivingly strains geese. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those halls on the slimy arm wisely exposed an innocent mother. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Both amused songs vaguely dried a few mad sacks. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The sweet dog calmly expanded a beetle. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A song safely completed a confused crown. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The disgusted nest wonderfully acquired the throne. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A toothpaste in high-pitched scenes overconfidently suited infamous roads. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few tame flags in an amused spot daily lined a few aftermaths. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A scene on an innocent plant quicker scans the throat. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: An important pleasure viciously termed some sore elbows. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some different vests wisely relieved the owls. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The false crates in the breads truthfully clarified brains. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Both thundering icicles in the frame accidentally debate an easy feather. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many eager camps hopelessly hid healthy maids. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The soft beads uselessly illustrated the holiday. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those trays on treatments quietly envisaged those unusual streets. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some inquisitive suns dearly registerred summers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A grieving bedroom in a sane arithmetic surprisingly revised some pies. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A delicious guitar deceivingly researches those grubby trays. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The damaged captions innocently promise sharp pears. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some frightened thrills on pickles bitterly engage those funny wealth. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple geese nicely contract passengers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The tense scarecrows furiously spot both beans. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The minister blissfully observes an average answer. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Roads on the hook madly manipulate an advice. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The brain on the bewildered lamp wrongly suited an earthquake. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple feasts roughly trained an oatmeal. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The alert hill hourly drains the pest. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A bewildered territory deeply sighes the pear. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A pear freely copies the volcanoes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Plastic grasses kookily mount the dimes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A squealing tramp questioningly smashed a deer. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A tiny girl innocently solves a couple creators. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The upset circle in a believe nervously exhibits the beds. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Both horses boastfully quoted those cuddly donkeys. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Rain monthly display a relieved volleyball. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A soft apparel soon confers a sore pest. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The advice on a sore kitten kiddingly senses the breezy sack. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple boundaries violently financed those calm summers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: An old-fashioned brother in scratchy fifths offensively criticises a poor title. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A raspy title doubtfully targeted some stoves. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Both books queasily clear borders. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A hot field jaggedly renderred the modern pickle. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The frantic uncles on a mom daily prevented the furnitures. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few numbers upwardly recruit a plain butter. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A fragile music fondly envisages those angers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The square chicken inquisitively classifies those soft beasts. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A brief poison of the embarrassed throne dreamily spares the mothers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The stupid name in the kind textures jaggedly replies many nervous creators. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Apples needily pled cooperative meals. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The sheet of some flaky captions hungrily intervened a suit. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A faithful clam willfully links an uptight flavor. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The pan of a cow lively searches patches. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Grandmothers vastly market a beginner. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those balloons on the tub mysteriously trusted a lively carpenter. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few open rewards in some lively recesses swiftly hunt the fair show. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Broken crows boastfully retire both songs. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Both sinks in the dirty bubble weakly organize a few voyages. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The skate frantically trades turkeys. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The donkey in the creepy grandmother gracefully extends tigers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some planes in a couple dirty weeks furiously smash a couple mad appliances. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some cloths of a dry popcorn greedily attribute the exuberant owls. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The fruit in the toe closely freezes the outrageous fight. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A morning roughly associates the bath. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The health slowly greet the afterthought. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some thoughtful channels well export the bad treatment. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A boiling patch neatly married a puzzled chicken. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few curved docks in some angers never favour a mad toothpaste. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few bricks of a husky brain far exploded curly crates. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The squirrel in a splendid cemetery abnormally process the sharp sleet. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A vest in the outstanding mother diligently reviewed a relieved judge. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few outrageous hats of cloudy tents youthfully depend those wicked aftermaths. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A smiling army on helpful pens hopelessly rounded an owl. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A chin in the quiet seemingly states a plane. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Steps urgently suited a couple scales. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some fluffy coaches on a woman zealously negotiated the cream. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The aunt of the powerful book dreamily summed both fuels. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A few rocks in the shrill marble exactly contrast a famous scale. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple cooing robins on those relaxed pickles very fit a clean wealth. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The name on the angry kite kissingly constituted birds. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A straight girl in some moaning guides upliftingly celebrated crooked crayons. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The powerful boundary in an annoyed feast knowledgeably splits the maid. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A pest suspiciously fears the pails. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The toad hastily flings a few sleepy crooks. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The car heavily collected some fluffy recesses. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple creams in even borders valiantly specified a spotless reward. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The alert jars on those early trays mostly rescue a caption. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some stations of the plain chin offensively conceded a few high-pitched dads. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Dirty pictures swiftly climb those judges. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A beggar of the bread limply circulated both brains. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some enchanting homes overconfidently back the feast. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those pickles wisely staged the stove. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some geese rapidly termed the sack. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Women soon invest the sheets. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Brave names gratefully bent underwears. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The winter of the show wetly anticipated many ripe drugs. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The brief doctor rarely regrets average trays. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A sleepy bucket in a few jokes famously crashed the wren. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The tense crowds helpfully accompany cautious wheels. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The man of healthy sparks painfully rings the breakfast. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Those judges politely entitled a wild town. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The gun in a couple grasses knowingly competed the damaged wildernesses. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A fast clam arrogantly drinks a couple beams. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Snails gratefully justified those uptight shops. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A lively beggar instantly popped a few fancy locks. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The repulsive rose wonderfully conceded ministers. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The arrogant test in a concerned poison in some wishes upside-down surprises those cellars. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The ball in some pears deceivingly adjusts the crowds. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The greasy donkey tightly hides grapes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Many flat camps in the smiling sugar instantly invested an early advice. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The pancake of those pockets upbeat declares a hook. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The spicy fight on dusty fights mockingly embarked a year. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A lonely stream in some slow mints yieldingly refuses the alert jail. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The dark throne quirkily adjusts a helpless activity. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A club silently specified the defeated slave. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Filthy toothpastes wonderfully focued a few determined visitors. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The rivers fast feature both incomes. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A locket lightly awaited the curved aunts. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: False horses in the army bitterly adjusted the sleet. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: An aftermath on the healthy hot patiently boiled the fake coast. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A hope on both slippery cemeteries in the quicksand kissingly concerns the road. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A marble in some brothers tremendously feed the anger. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some faint apples tenderly blamed some faint towns. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: Some chickens youthfully descend the action. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The sleepy stranger of the safe guide slowly ages an unsightly pancake. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: The enthusiastic feather bravely proclaimed both spots. Answer:,[' Yes', ' No'],1
Does the following sentence have a grammatical error in it? Sentence: A couple stews in a lucky bat kookily prayed the straight squirrels. Answer:,[' Yes', ' No'],1
